jaar	begin bladontplooiing	blad volledig ontplooid	bloeibegin	bloeieind	bladperiode	bloeiperiode	GemVanTmean
2002	17,3	20	17,6	19,8	2,7	2	6,5
2003	17,7	18,9	NA	NA	1,2	0	4,6
2004	16,8	18,3	17,2	22	1,5	4	4,9
2005	18,3	19,6	NA	NA	1,4	0	4,7
2006	17,5	18,9	18,2	21	1,4	NA	3,1
2007	16,8	17,8	17	0,6	1	0	7,3
2008	17,8	18,6	18,3	19,6	0,8	1,4	6,3
2009	16,5	17,6	16,6	20,2	1,1	2,9	3,7
2010	18,3	19,5	19	20	1,3	1	3,1
2011	16,2	17,6	16,2	18	1,5	1,8	5,7
2012	18	19,3	18	19	NA	NA	4,9
2013	18,1	19,1	18,7	21	1	NA	2,2
2014	16	17,6	16,4	18,1	1,6	1,7	7,3
