jaar;begin bladontplooiing beuk;blad volledig ontplooid beuk;bloeibegin;bloeieind;bladperiode;bloeiperiode;GemVanTmean
2002;17,3;20;17,6;19,8;2,7;2;6,5
2003;17,7;18,9;NA;NA;1,2;0;4,6
2004;16,8;18,3;17,2;22;1,5;4;4,9
2005;18,3;19,6;NA;NA;1,4;0;4,7
2006;17,5;18,9;18,2;21;1,4;NA;3,1
2007;16,8;17,8;17;0,6;1;0;7,3
2008;17,8;18,6;18,3;19,6;0,8;1,4;6,3
2009;16,5;17,6;16,6;20,2;1,1;2,9;3,7
2010;18,3;19,5;19;20;1,3;1;3,1
2011;16,2;17,6;16,2;18;1,5;1,8;5,7
2012;18;19,3;18;19;NA;NA;4,9
2013;18,1;19,1;18,7;21;1;NA;2,2
2014;16;17,6;16,4;18,1;1,6;1,7;7,3
;;;;;;;
;;;;;;;
jaar;begin bladontplooiing eik;blad volledig ontplooid eik;bloeibegin;bloeieind;bladperiode;bloeiperiode;GemVanTmean
2003;17,5;19,4;18,3;19;2;1;4,6
2004;18,1;20,4;18,4;22,2;2,3;3,8;4,9
2005;17,8;20,8;19,6;21,5;3;1,9;4,7
2006;19,5;21;20;21;1,5;1;3,1
2007;16,2;17,8;16,6;17,8;1,6;1,2;7,3
2008;18;20;18,6;20,9;2;2,3;6,3
2009;17,1;19,9;17,2;20,7;2,8;3,5;3,7
2010;18,4;21,8;18,7;21,5;3,5;2,7;3,1
2011;16,7;;16,7;NA;NA;NA;5,7
2012;17;;NA;NA;NA;NA;4,9
2013;18,8;21,4;19;21,2;2,6;2,2;2,2
2014;16,3;19;16,7;19;2,7;2,3;7,3
